gene,WD_t0_wt_VS_WD_t0_DKO_FC
Nbl1,-1.01609973642472
C1qtnf1,-1.04312691204318
Lgi2,-1.7221877446630502
Gusb,-1.00797545467646
Fcgr4,-2.03587003191939
Krt80,-1.5737508771878899
Srpx,-1.18967976495169
Lgals3,-2.21655565721079
Prss12,-1.83424224710801
Itgb4,-1.16289356671747
Apoe,5.25924007153362
Cyba,-1.1763875717569199
Pdgfrl,-1.4738778365788099
Dpt,-1.24821286178819
Aldh1a3,-1.27278700085903
Ccl19,-1.60389695233567
Sulf2,-1.13178100582602
Col23a1,-1.25734157836409
Ctsh,-1.00699712594222
Cd109,-1.60149784173887
Aldh3a1,-1.9785675456799998
Igsf10,-1.36954571607125
Mcc,1.08342799853285
Slc1a5,1.10610039213656
Itgb2,-1.93506729722583
Shisa3,-1.20059473508094
Matn2,-0.992715602599756
Wdfy4,-1.6657130531251898
Vwf,-1.85837244231994
Pirb,-1.5936720992807
Nxpe5,-2.02163315885775
Plec,-0.9547467167362371
Gxylt2,-1.7742290888733798
Pld3,-1.33363911830799
Gm13304,-3.0275372986667204
Tgfbi,-1.18715378435064
Gdf6,-4.01331089515721
Tnfaip2,-1.6903954161190802
Adamtsl2,-2.4944744782592903
Abca9,-1.1468626413386203
B430306N03Rik,-2.42368204982421
Tbxas1,-1.66452738215049
Procr,-0.999421409997143
Pdpn,-1.4477161955773101
Lcp1,-1.67642967414616
Cd44,-1.36653050006505
Glg1,-0.8902628996087042
Mpeg1,-2.3232133946005
C1ra,-1.23137883731553
Sgsh,-0.8958844118159771
Laptm5,-1.6906726845104598
Ifitm3,-0.836190231777297
C1qb,-1.52641422681122
Blvrb,-0.9855832635076159
C1qtnf7,-1.26260601984252
Slc15a3,-2.40901274774696
Ptgfrn,-1.45516724827648
Glt8d2,-1.65601987596203
Mmp2,-1.79163751499224
Soat1,-1.3621263477664598
Timp4,1.32953060184959
Gsn,-1.06910585941222
Tlr13,-1.79509239186508
C3ar1,-1.87225520855422
Gpr35,-2.22144377102667
Plvap,-1.4124627470204199
Gpr39,-2.4426653270155696
Ctsk,-1.60379152568075
Lgals4,2.1177671138641103
Gm21541,-3.0275372986667204
Slc37a2,-1.98707791727562
Bicc1,-1.9332372904180402
Jade2,-0.839681101358032
Ntn4,-1.34327710299002
Nudt19,1.05230743508614
Galns,-1.22148916826555
Svep1,-1.8211609077985098
Tnfrsf1b,-1.45692064539929
Adgrd1,-1.47734513013101
Folr2,-1.28787398750095
Nceh1,-1.5247377755429399
Cybb,-1.81595960853136
Atrnl1,-0.882378196428077
Stac2,-3.0910082048356897
Cpxm2,-1.8139800242957198
Sorcs2,-1.38924172130063
Itga11,-1.5294849982833898
Gpr153,-1.68445386294842
Ccdc80,-1.08277541841471
Pi16,-1.2380718779255901
Pik3ap1,-1.9855513767544601
Scn1b,-1.26644315447801
Itgax,-2.50317695326538
Gpihbp1,1.2975020833181399
Loxl2,-1.0132797229952801
Tgfbr2,-0.902807062994261
Nckap1l,-1.57698970605268
Car8,-1.1055411275062201
Cpxm1,-1.59310981211445
C4b,-1.62430481324294
Man2b1,-0.8526906282236629
Col16a1,-1.0277107959029501
Ildr2,-1.32504874181509
Gas7,-1.05265944040765
Lgmn,-1.28293181129638
Naglu,-1.0149910022761
Medag,-0.8582288629906278
Galnt6,-1.74421435841173
Sfrp1,-1.66878172217812
Hk3,-2.5521215571253903
Fbn1,-1.16914306426067
Fgr,-1.7513408686541798
Nfam1,-1.7088448002892802
Slamf8,-2.26096646727142
Pamr1,-1.21137959698767
Tyrobp,-1.6579088258181998
Gm20594,1.96912800113331
Lhfpl2,-1.3803511564331499
Syk,-1.3156964175561499
Icam1,-0.933553097335122
Abca8a,-0.980074915187889
Sulf1,-1.2557814814638701
Lbp,-1.9367609698411798
Myo1f,-1.9416583544606998
Runx1,-1.6100139517943899
Gm10591,-3.0275372986667204
Ackr2,-1.8052031572087401
Slco2a1,-2.02269627570862
Cdh11,-1.24154846174997
Col14a1,-1.51083538408021
Emilin2,-1.79588580610996
Pltp,-1.04387032459368
Car4,1.50251657405822
Lrp1,-1.2767934237886598
Smoc2,-1.65896166518004
Ccl21c,-3.0275372986667204
Loxl4,-1.78445171303213
Stab1,-1.1234235683296
Angptl2,-0.938931448433359
Col3a1,-1.49455177577667
Ephb2,-1.23484819346417
Capg,-1.4033086809187298
Pik3r5,-1.3581420931952801
Lilr4b,-2.11884250838704
Olfr856-ps1,0.950937107843843
Dbn1,-0.915343917161833
S100a4,-1.3697248925090302
Tns3,-0.8494146756357249
Gdf7,-2.9105021194215097
Fndc1,-1.5667678722622902
Gpc3,-1.2278545702210502
Vat1,-1.12303972041626
Ccbe1,-1.42271110460283
Lilrb4a,-2.02505515760151
Plac9a,-2.4825781458762
Vcam1,-1.62613906471623
Plac9b,-2.35968770729822
Myof,-1.12362844427217
Slc11a1,-1.3471661848267
Heg1,-1.03606501010386
Cmklr1,-1.53281708011278
Flrt2,-1.26083555171529
Pcolce,-1.32304614458256
Ace,-1.56561070809905
Rab7b,-1.31629585206475
Mir8114,-11.017795205466099
Csf1r,-1.4386255309828202
Fcgr2b,-1.3119172239814199
Adamts2,-1.5738397713865302
Clec11a,-1.73222555588193
Fbln1,-2.08380687566221
Plat,-1.24502950251317
Wnt9b,-3.26616698124765
Col1a2,-1.3447085645958603
Olfml1,-1.12393907673352
F10,-2.5672492668216096
Cfh,-1.5009357589186298
Sirpa,-1.07273581206634
Hexb,-0.897761454376803
Spi1,-1.4182539230262101
Dcn,-1.1898668685851599
Il6ra,-1.10691884880287
3632451O06Rik,-1.40649562527432
Entpd4,-1.10477532725606
Nucb2,-0.917256768466335
Entpd2,-1.2917358171651
Cd248,-1.75506980409503
Ptafr,-1.72653682014636
Apoc1,3.35904514423132
Tmem176b,-0.8950960997727572
Serpinb6b,-1.0862619830742
Pdgfra,-1.4008388988987601
Aff3,-1.37008081545418
Anxa1,-0.902539814374028
Serping1,-1.47838250208673
C1qc,-1.41488446589548
Col1a1,-1.67060915848903
Scara5,-1.52677984908684
Ppl,-1.24359007895778
Cd300lb,-2.4029744590547404
Mgat5,-1.36222508009451
Ly9,-2.34463783303522
Hck,-1.66552543569328
Col4a4,-1.50315038109388
Lama2,-1.14771156970557
Cd300c2,-2.1991191942273303
Vwa3a,1.64694184534589
AB124611,-1.70111809351039
Cd300a,-1.1006782157109198
Olfml3,-1.4701557682396
Man1a,-1.08323875307918
Wisp1,-1.4818392979190298
Olfml2a,-1.16646600977624
Cxcl1,-2.8006167108795297
Cd68,-2.13110677636981
Tmem254b,-1.68315442754572
Col12a1,-1.22581560045201
Clec3b,-1.2005093869314398
Clec7a,-2.95143258876447
Tmem176a,-1.28596957540629
Lyz2,-1.72500977419971
Itih4,-1.4710582308970002
Igsf6,-1.6215893866063502
Selp,-2.3506086661507
Ssc5d,-0.953342102619362
Lrp4,-1.58133027731985
Uap1l1,-1.1018487263343
Slc29a3,-1.10506497518178
Slamf7,-2.13124675169213
Csf2rb2,-2.00241522752418
Gpr137b-ps,-1.1758096942920901
Igfbp4,-1.51552290967657
Man2b2,-1.254520971964
Spon1,-1.5740974679447999
Nudt14,1.4286133627166298
S1pr2,-1.11251416035187
Cfb,-1.7850274527358099
Sfrp4,-2.0100555003555898
Tlr9,-2.5504222187035497
Steap3,-0.9896626308023531
Cd84,-1.4985620023685402
Man1c1,-1.0242271387816402
Abcg1,-1.42012267058977
Col15a1,-1.2633377871554898
Qpct,-1.3112858267607
Tlr2,-1.36825118665517
Unc93b1,-0.97465293824175
Sdc3,-0.925220480792625
Ces2g,-1.2498977269103002
Fbln2,-1.31164403194462
Abcc3,-2.23302258566528
Col6a1,-1.1091746668383502
Enpp3,-1.3809477190600201
C2,-1.5547474274501
Tmem119,-1.5334260562695
Ushbp1,0.9283582400437741
Pnmal2,-2.36467615906693
Bace2,-1.5246664493449098
Cotl1,-1.69235202995229
Pcolce2,-1.2332259350306698
D630003M21Rik,-1.48340033427707
F3,-0.9434519824926071
Anpep,-1.7335590700538799
Pcdhgc5,-1.51748884420647
Hpgds,-1.47182556675566
Sele,-3.63832919208473
Fam198a,-1.58235298320584
Cilp,-2.78768062238602
Hpse,-1.8204004985734799
